,BassTenor,BassAlto,BassSoprano,TenorAlto,TenorSoprano,AltoSoprano
11,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
12,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
13,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
14,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
15,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
16,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
17,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
18,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
19,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
20,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
21,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
22,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
23,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
24,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
25,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
26,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
27,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
28,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
29,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
30,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
31,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
32,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
33,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
34,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
35,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
